08/10/2023 19:02:55 = 3800 links are processed
08/10/2023 19:03:35 = 3900 links are processed
08/10/2023 19:04:14 = 4000 links are processed
08/10/2023 19:04:51 = 4100 links are processed
08/10/2023 19:05:34 = 4200 links are processed
08/10/2023 19:06:11 = 4300 links are processed
08/10/2023 19:06:48 = 4400 links are processed
08/10/2023 19:07:25 = 4500 links are processed
08/10/2023 19:08:01 = 4600 links are processed
08/10/2023 19:08:40 = 4700 links are processed
08/10/2023 19:09:22 = 4800 links are processed
08/10/2023 19:09:58 = 4900 links are processed
08/10/2023 19:10:40 = 5000 links are processed
08/10/2023 19:11:15 = 5100 links are processed
08/10/2023 19:11:51 = 5200 links are processed
08/10/2023 19:12:28 = 5300 links are processed
08/10/2023 19:13:04 = 5400 links are processed
08/10/2023 19:13:42 = 5500 links are processed
08/10/2023 19:14:20 = 5600 links are processed
08/10/2023 19:14:56 = 5700 links are processed
08/10/2023 19:15:32 = 5800 links are processed
08/10/2023 19:16:10 = 5900 links are processed
08/10/2023 19:16:41 = 6000 links are processed
08/10/2023 19:17:19 = 6100 links are processed
08/10/2023 19:17:56 = 6200 links are processed
08/10/2023 19:18:35 = 6300 links are processed
08/10/2023 19:19:11 = 6400 links are processed
08/10/2023 19:19:48 = 6500 links are processed
08/10/2023 19:20:30 = 6600 links are processed
08/10/2023 19:21:05 = 6700 links are processed
08/10/2023 19:21:38 = 6800 links are processed
08/10/2023 19:22:14 = 6900 links are processed
08/10/2023 19:22:51 = 7000 links are processed
08/10/2023 19:23:29 = 7100 links are processed
08/10/2023 19:24:06 = 7200 links are processed
08/10/2023 19:24:43 = 7300 links are processed
08/10/2023 19:25:27 = 7400 links are processed
08/10/2023 19:26:05 = 7500 links are processed
08/10/2023 19:26:43 = 7600 links are processed
08/10/2023 19:27:23 = 7700 links are processed
08/10/2023 19:27:59 = 7800 links are processed
08/10/2023 19:28:36 = 7900 links are processed
08/10/2023 19:29:14 = 8000 links are processed
08/10/2023 19:29:51 = 8100 links are processed
08/10/2023 19:30:32 = 8200 links are processed
08/10/2023 19:31:09 = 8300 links are processed
08/10/2023 19:31:48 = 8400 links are processed
08/10/2023 19:32:27 = 8500 links are processed
08/10/2023 19:32:59 = The scrapping is fifnished.

